,Unnamed: 0,price,rooms,area,kitchen_area,floor,renovation,deal_type,balcony,trash_chute,Год постройки,Материал стен,Серия дома,Количество этажей,Лифт,Тип перекрытий,Тип фундамента,Горячее водоснабжение,Количество балконов,Количество квартир,Холодное водоснабжение,Теплоснабжение,Водоотведение,Количество подъездов,Жилая,years_in_ownership,number_of_owners,energy_efficiency_class,power_supply,number_of_elevators,ventilation,freight_elevator,gas_supply,latitude,longitude
61,61,9550000,2.0,45.3,,2.0,,Свободная продажа,нет,,1977.0,Кирпичный,v-кирпичный,9.0,есть,Железобетонный,,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,,,Центральное,Центральное,,,,,,,,1.0,,нет,нет,43.10134495,131.8633148591122
62,62,4350000,2.0,44.0,8.0,2.0,Евро,Свободная продажа,,,1950.0,Блочный,,2.0,,Деревянный,Ленточный,,1.0,,Центральное,Центральное,Центральное,,,,,,Центральное,,,,,,
63,63,13000000,3.0,76.3,,7.0,Дизайнерский,Свободная продажа,,есть,2010.0,Монолитный,,15.0,,Железобетонный,Иной,Центральное,1.0,215.0,,,,,,,,B+,,,,,,43.08561205,131.85362410081632
64,64,8120000,,,,,,,,,2021.0,Монолитно-кирпичный,,25.0,,Железобетонный,,Поквартирный котел,,,,,,,,,,,,,,,,43.100162,131.946842
65,65,6800000,1.0,35.4,,7.0,Отсутствует,,,,2022.0,Монолитный,,25.0,,Железобетонный,,,1.0,,,,,,,,,,,,,,,43.17579885,131.94006015
66,66,6600000,,,,,,,,есть,1987.0,Панельный,П-55,9.0,есть,Железобетонный,Ленточный,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,,,,,,,,,,,,,,,,43.16340675,131.93154123765134
67,67,29850000,3.0,120.0,18.0,6.0,Дизайнерский,Свободная продажа,,есть,2008.0,Кирпичный,v-кирпичный,17.0,есть,Железобетонный,Иной,,,,,,,,101 м2,Больше пяти,,B,,,,,,43.1335414,131.90410399239602
68,68,7300000,2.0,51.1,,1.0,Косметический,,,есть,1988.0,Панельный,111-83,10.0,есть,Железобетонный,Ленточный,Закрытая с приготовлением горячей воды на ЦТП,1.0,,,,,,,,,,,,,,,43.09557075,131.89472107811957
69,69,7700000,1.0,40.1,9.0,12.0,Евро,,,,2020.0,Монолитный,,24.0,,Железобетонный,,Центральное,1.0,198.0,,,,,,,,,,,,,,43.1194382,131.9565994
70,70,6600000,2.0,45.9,6.0,9.0,Косметический,,,есть,1974.0,Панельный,81,9.0,есть,Железобетонный,Ленточный,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,1.0,,,,,,,,,,,,,,,43.1299846,131.93260578614002
71,71,14900000,3.0,70.9,15.0,4.0,Евро,,,,2000.0,Кирпичный,v-кирпичный,15.0,есть,Железобетонный,Сплошной,Центральное,1.0,124.0,,,,,,,,,,,,,,43.125537,131.89385086210967
72,72,10000000,3.0,64.0,8.0,1.0,Отсутствует,,,,2021.0,Монолитный,,4.0,,Железобетонный,,Центральное,1.0,72.0,,,,,,,,,,,,,,43.25403605,132.00916640629424
73,73,5100000,,,,,,,,,,Панельный,,10.0,,,,,,,,,,,,,,,,,,,,,
74,74,7000000,,30.0,6.5,5.0,Евро,,,,1964.0,Кирпичный,II-03,5.0,,Железобетонный,Ленточный,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,1.0,,Центральное,Центральное,,,,,,,,,,,,43.14792795,131.91677860094728
75,75,7900000,,,,,,,,,2021.0,Монолитно-кирпичный,,25.0,,Железобетонный,,Поквартирный котел,,,,,,,,,,,,,,,,43.100162,131.946842
76,76,9950000,2.0,54.8,6.0,6.0,Отсутствует,,,,,Кирпично-монолитный,,24.0,,,,,1.0,,,,,,,,,,,,,,,43.1627073,131.9488599253081
77,77,8000000,2.0,42.6,6.0,1.0,Евро,,,,1968.0,Панельный,,5.0,,Железобетонный,Ленточный,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,1.0,,Центральное,Центральное,,,,,,,Центральное,,,,,43.13307325,131.89154983799213
78,78,13600000,3.0,67.3,8.0,1.0,Евро,,,,,Панельный,,9.0,,,,,1.0,,,,,,,,,,,,,,,,
79,79,14000000,,,,,,,,,2022.0,Монолитный,,23.0,,Железобетонный,,Центральное,,,,,,,,,,,,,,,,43.11345495,131.94425075811645
80,80,11000000,2.0,59.0,10.0,4.0,Косметический,,,есть,2001.0,Кирпичный,89152-к примогражданпроект,12.0,есть,Железобетонный,Ленточный,,1.0,,,,,,,,,B+,,,,,,43.1758235,131.92543638204492
81,81,13400000,2.0,62.2,,3.0,Дизайнерский,Свободная продажа,,,2021.0,Монолитный,,24.0,,Железобетонный,,Центральное,1.0,219.0,,,,,,,,,,,,,,43.1703843,131.95445052492337
82,82,6800000,1.0,37.7,6.0,9.0,Отсутствует,,,,,Монолитный,,23.0,,,,,1.0,,,,,,,,,,,,,,,43.13563165,131.94452195152763
